layer,nr,cvs,kappas,type
0,314,6.00000000*1.50000000,1.60000000e+01*1.60000000e+01,node
0,315,6.00000000*3.00000000,1.60000000e+01*1.60000000e+01,node
0,316,6.00000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,317,6.00000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,318,6.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,319,6.00000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,320,6.00000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,321,6.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,322,6.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,323,6.00000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,324,7.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,325,7.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,326,7.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,327,7.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,328,7.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,329,7.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,330,7.50000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,331,7.50000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,332,7.50000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,333,7.50000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,334,7.50000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,335,7.50000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,336,7.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,337,7.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,338,7.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,339,7.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,340,7.50000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,341,7.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,342,7.50000000*13.50000000,8.00000000e+00*8.00000000e+00,node
0,343,9.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,344,9.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,345,9.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,346,9.00000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,347,9.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,348,9.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,349,9.00000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,350,9.00000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,351,9.00000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,352,9.00000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,353,9.00000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,354,9.00000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,355,9.00000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,356,9.00000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,357,9.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,358,9.00000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,359,9.00000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,360,9.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,361,9.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,362,10.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,363,10.50000000*-10.50000000,2.00000000e+00*2.00000000e+00,node
0,364,10.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,365,10.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,366,10.50000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,367,10.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,368,10.50000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,369,10.50000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,370,10.50000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,371,10.50000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,372,10.50000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,373,10.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,374,10.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
