layer,nr,cvs,kappas,type
1,155,18.00000000*-3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,156,18.00000000*3.00000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,157,18.00000000*4.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,158,19.50000000*-3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,159,19.50000000*3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,160,19.50000000*4.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,161,-20.25000000*-8.25000000,1.60000000e+01*1.60000000e+01,node
1,162,-19.50000000*-8.25000000,1.60000000e+01*1.60000000e+01,node
1,163,-18.75000000*-9.75000000,1.60000000e+01*1.60000000e+01,node
1,164,-18.75000000*-9.00000000,1.60000000e+01*1.60000000e+01,node
1,165,-18.75000000*-8.25000000,8.00000000e+00*8.00000000e+00,node
1,166,-18.75000000*-7.50000000,3.20000000e+01*3.20000000e+01,node
1,167,-18.75000000*-6.75000000,6.40000000e+01*6.40000000e+01,node
1,168,-18.75000000*2.25000000,1.60000000e+01*1.60000000e+01,node
1,169,-18.75000000*3.00000000,1.60000000e+01*1.60000000e+01,node
1,170,-18.75000000*3.75000000,3.20000000e+01*3.20000000e+01,node
1,171,-18.00000000*-8.25000000,8.00000000e+00*8.00000000e+00,node
1,172,-18.00000000*-3.75000000,1.60000000e+01*1.60000000e+01,node
1,173,-18.00000000*-2.25000000,8.00000000e+00*8.00000000e+00,node
1,174,-17.25000000*-11.25000000,1.60000000e+01*1.60000000e+01,node
1,175,-17.25000000*-8.25000000,1.60000000e+01*1.60000000e+01,node
1,176,-17.25000000*-7.50000000,1.60000000e+01*1.60000000e+01,node
1,177,-17.25000000*-6.75000000,1.28000000e+02*1.28000000e+02,node
1,178,-17.25000000*-5.25000000,3.20000000e+01*3.20000000e+01,node
